Team,Total Cap  Allocations,Cap Space  All,year,Salary_Cap,Payroll_Pct,Cap_Space_Pct
DAL,85147033.0,"$13,945,967",2017,94143000.0,0.9044435911326386,0.09555640886736139
CHI,90105625.0,"$8,987,375",2017,94143000.0,0.9571144429219379,0.042885557078062075
PHO,92518634.0,"$6,574,366",2017,94143000.0,0.9827457591111395,0.017254240888860517
IND,93661969.0,"$5,431,031",2017,94143000.0,0.994890422017569,0.005109577982430946
ORL,95538311.0,"$3,554,689",2017,94143000.0,1.0148211869177741,0.0
BRK,95964560.0,"$3,128,440",2017,94143000.0,1.0193488629000562,0.0
SAC,97154206.0,"$1,938,794",2017,94143000.0,1.0319854476700339,0.0
PHI,100020936.0,"$-927,936",2017,94143000.0,1.0624362512348235,0.0
ATL,100108457.0,"$-1,015,457",2017,94143000.0,1.063365911432608,0.0
NYK,104405156.0,"$-5,312,156",2017,94143000.0,1.1090060439968983,0.0
MIA,105065917.0,"$-5,972,917",2017,94143000.0,1.1160247389609423,0.0
LAL,105120157.0,"$-6,027,157",2017,94143000.0,1.1166008837619366,0.0
MIN,105179927.0,"$-6,086,927",2017,94143000.0,1.1172357689897283,0.0
DEN,106515203.0,"$-7,422,203",2017,94143000.0,1.1314192558129654,0.0
UTA,106862254.0,"$-7,769,254",2017,94143000.0,1.1351056796575423,0.0
MEM,112723222.0,"$-13,630,222",2017,94143000.0,1.1973616944435592,0.0
BOS,115075693.0,"$-15,982,693",2017,94143000.0,1.2223499676024772,0.0
MIL,116214360.0,"$-17,121,360",2017,94143000.0,1.2344450463656353,0.0
SAS,117624936.0,"$-18,531,936",2017,94143000.0,1.2494283802300756,0.0
HOU,118271451.0,"$-19,178,451",2017,94143000.0,1.2562957522067493,0.0
LAC,118817049.0,"$-19,724,049",2017,94143000.0,1.2620911698161308,0.0
DET,118897722.0,"$-19,804,722",2017,94143000.0,1.2629480896083618,0.0
POR,119265261.0,"$-20,172,261",2017,94143000.0,1.2668521398298334,0.0
TOR,119956468.0,"$-20,863,468",2017,94143000.0,1.2741942364275622,0.0
CHO,120170928.0,"$-21,077,928",2017,94143000.0,1.2764722602848857,0.0
NOP,120284741.0,"$-21,191,741",2017,94143000.0,1.2776811977523554,0.0
WAS,124114043.0,"$-25,021,043",2017,94143000.0,1.3183565745727244,0.0
OKC,134391728.0,"$-35,298,728",2017,94143000.0,1.4275275697608956,0.0
