Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,Type,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
kevin durant,25.0,OKC,SF,19.0,19.0,42.9,10.2,22.2,0.46,2.3,6.6,0.344,7.9,15.6,0.508,0.511,6.9,8.6,0.81,1.3,7.6,8.9,3.9,1.0,1.3,3.8,2.2,29.6,2014,Playoffs,22.6,0.57,0.296,0.386,3.7,19.1,11.8,18.3,1.2,2.3,12.7,31.6,1.5,0.9,2.5,0.145,6.1,0.4,6.4,1.7
lebron james,29.0,MIA,PF,20.0,20.0,38.2,9.6,17.0,0.565,1.8,4.3,0.407,7.9,12.7,0.618,0.616,6.5,8.0,0.806,0.7,6.4,7.1,4.8,1.8,0.6,3.1,2.3,27.4,2014,Playoffs,31.0,0.668,0.253,0.471,2.5,21.4,12.3,25.6,2.6,1.4,12.9,31.6,3.4,0.9,4.3,0.269,8.5,1.8,10.3,2.4
russell westbrook,25.0,OKC,PG,19.0,19.0,38.7,8.8,20.9,0.42,1.5,5.3,0.28,7.3,15.7,0.466,0.455,7.6,8.6,0.884,2.4,4.9,7.3,8.1,2.2,0.3,4.4,3.3,26.7,2014,Playoffs,24.9,0.539,0.251,0.412,7.3,13.6,10.6,40.5,2.9,0.6,15.0,34.3,1.6,0.9,2.5,0.166,6.3,1.3,7.6,1.8
lamarcus aldridge,28.0,POR,PF,11.0,11.0,40.1,10.3,22.7,0.452,0.2,0.3,0.667,10.1,22.5,0.449,0.456,5.5,6.8,0.8,2.7,7.9,10.6,1.5,0.6,1.6,1.7,3.6,26.2,2014,Playoffs,21.0,0.509,0.012,0.3,7.5,21.2,14.4,7.0,0.8,3.0,6.3,30.1,0.6,0.3,0.9,0.097,2.7,-0.7,2.1,0.4
blake griffin,24.0,LAC,PF,13.0,13.0,36.8,9.0,18.0,0.5,0.1,0.5,0.143,8.9,17.5,0.511,0.502,5.5,7.4,0.74,2.7,4.7,7.4,3.8,1.2,1.1,2.4,4.2,23.5,2014,Playoffs,21.7,0.554,0.03,0.41,8.1,15.2,11.5,18.2,1.7,2.5,10.1,27.9,1.1,0.3,1.4,0.143,3.9,0.5,4.4,0.8
damian lillard,23.0,POR,PG,11.0,11.0,42.4,7.5,17.2,0.439,2.5,6.4,0.386,5.1,10.8,0.471,0.511,5.4,6.0,0.894,1.1,4.0,5.1,6.5,1.0,0.1,2.7,2.6,22.9,2014,Playoffs,19.3,0.578,0.37,0.349,2.8,10.1,6.5,25.8,1.2,0.2,12.1,23.4,1.2,0.1,1.3,0.13,5.2,-0.3,4.9,0.8
paul george,23.0,IND,SF,19.0,19.0,41.1,7.3,16.6,0.438,2.7,6.8,0.403,4.5,9.8,0.462,0.521,5.3,6.7,0.789,0.7,6.9,7.6,3.8,2.2,0.4,2.6,2.9,22.6,2014,Playoffs,20.5,0.578,0.41,0.406,2.1,20.0,11.2,17.8,2.9,0.8,11.7,26.3,1.3,1.5,2.7,0.169,3.3,2.5,5.9,1.6
joe johnson,32.0,BRK,SG,12.0,12.0,39.1,8.2,15.3,0.533,1.8,4.4,0.415,6.3,10.9,0.58,0.592,3.0,3.6,0.837,0.8,3.1,3.8,2.9,0.5,0.3,1.6,1.7,21.2,2014,Playoffs,20.3,0.626,0.288,0.234,2.3,10.5,6.2,14.5,0.7,0.6,8.6,23.1,1.4,0.1,1.5,0.153,4.4,-0.5,3.8,0.7
chris paul,28.0,LAC,PG,13.0,13.0,36.3,7.1,15.2,0.467,2.5,5.4,0.457,4.6,9.8,0.472,0.548,3.2,4.1,0.774,0.9,3.3,4.2,10.3,2.8,0.0,3.0,3.8,19.8,2014,Playoffs,23.6,0.583,0.355,0.269,2.8,10.8,6.7,45.4,3.9,0.0,15.0,23.9,1.5,0.5,1.9,0.195,6.4,2.4,8.8,1.3
bradley beal,20.0,WAS,SG,11.0,11.0,41.6,6.8,16.1,0.424,2.0,4.8,0.415,4.8,11.3,0.427,0.486,3.5,4.5,0.796,1.4,3.6,5.0,4.5,1.6,0.6,2.1,2.8,19.2,2014,Playoffs,17.0,0.531,0.299,0.277,3.8,10.2,7.0,19.9,2.1,1.2,10.4,22.9,0.6,0.8,1.4,0.152,3.3,1.4,4.7,0.8
