Player,YRS,is_retained,year,Cap_Pct
stephen curry,5,1,2017,0.35
blake griffin,5,1,2017,0.3
gordon hayward,4,0,2017,0.3
jrue holiday,5,1,2017,0.2592
otto porter,4,0,2017,0.25
kyle lowry,3,1,2017,0.2897
tim hardaway,4,0,2017,0.1664999999999999
serge ibaka,3,1,2017,0.2025
danilo gallinari,3,0,2017,0.2075
paul millsap,2,0,2017,0.3105
george hill,3,0,2017,0.2018
jeff teague,3,0,2017,0.1917
joe ingles,4,1,2017,0.1427
dion waiters,4,1,2017,0.111
kevin durant,2,1,2017,0.2523
kelly olynyk,4,0,2017,0.1211999999999999
pau gasol,3,1,2017,0.1614999999999999
andre iguodala,3,1,2017,0.1495
patty mills,4,1,2017,0.1081
tony snell,4,1,2017,0.0991
james johnson,3,1,2017,0.1408
mason plumlee,3,1,2017,0.1417
pj tucker,4,0,2017,0.0766
andre roberson,3,1,2017,0.0934
taj gibson,2,0,2017,0.1413
cj miles,3,0,2017,0.0801
zach randolph,2,0,2017,0.1242
shaun livingston,3,1,2017,0.0776
jj redick,1,0,2017,0.2321
kyle korver,3,1,2017,0.0706
bojan bogdanovic,2,0,2017,0.106
darren collison,2,0,2017,0.1009
jonathon simmons,3,0,2017,0.0636
rudy gay,2,0,2017,0.0848
alan williams,3,1,2017,0.0605
patrick patterson,3,0,2017,0.0524
jamychal green,2,1,2017,0.0861
nikola mirotic,1,1,2017,0.1261
shelvin mack,2,0,2017,0.0605
amir johnson,1,0,2017,0.111
nene hilario,3,1,2017,0.0351
ben mclemore,2,0,2017,0.0525
thabo sefolosha,2,0,2017,0.053
mike muscala,2,1,2017,0.0504999999999999
justin holiday,2,0,2017,0.0466
ron baker,2,1,2017,0.0437
jamal crawford,2,0,2017,0.0437
vince carter,1,0,2017,0.0807
jodie meeks,2,0,2017,0.0332
ersan ilyasova,1,1,2017,0.0036
eric moreland,3,0,2017,0.0176
nick young,1,0,2017,0.0524
reggie bullock,2,1,2017,0.0252
dirk nowitzki,1,1,2017,0.0504999999999999
troy williams,3,1,2017,0.0022
aron baynes,1,0,2017,0.0437
nerlens noel,1,1,2017,0.0423
tyler zeller,2,0,2017,0.0173
zaza pachulia,1,1,2017,0.0351
shabazz muhammad,2,1,2017,0.0033
rajon rondo,1,0,2017,0.0333
tyreke evans,1,0,2017,0.0332
anthony tolliver,1,0,2017,0.0332
tarik black,1,0,2017,0.0332
tyler ennis,2,1,2017,0.0154
joffrey lauvergne,2,0,2017,0.0154
quinn cook,2,0,2017,0.0002
wayne selden,2,1,2017,0.0132
michael carterwilliams,1,0,2017,0.0272
nick collison,1,1,2017,0.0148
jeff green,1,0,2017,0.0148
arron afflalo,1,0,2017,0.0148
ramon sessions,1,0,2017,0.0023
david west,1,1,2017,0.0148
udonis haslem,1,1,2017,0.0148
gerald green,1,0,2017,0.0088
raymond felton,1,0,2017,0.0148
jason terry,1,1,2017,0.0148
jose calderon,1,0,2017,0.0148
jarrett jack,1,0,2017,0.0148
dante cunningham,1,1,2017,0.0232
michael beasley,1,0,2017,0.0148
luc richard mbah a moute,1,0,2017,0.0148
marreese speights,1,0,2017,0.0148
aaron brooks,1,0,2017,0.0148
javale mcgee,1,1,2017,0.0148
derrick rose,1,0,2017,0.0029
luke babbitt,1,0,2017,0.0148
mike scott,1,0,2017,0.0148
ian clark,1,0,2017,0.0148
shane larkin,1,0,2017,0.0148
jordan mickey,1,0,2017,0.0148
marcus georgeshunt,1,0,2017,0.0132
mario chalmers,1,0,2017,0.0148
chris paul,4,1,2018,0.35
lebron james,4,0,2018,0.35
nikola jokic,5,1,2018,0.25
paul george,4,1,2018,0.3
aaron gordon,4,1,2018,0.2119
zach lavine,4,1,2018,0.1914
kevin durant,2,1,2018,0.2945
will barton,4,1,2018,0.1161
marcus smart,4,1,2018,0.1144999999999999
jusuf nurkic,4,1,2018,0.1213
derrick favors,2,1,2018,0.1659
kyle anderson,4,0,2018,0.0848
dante exum,3,1,2018,0.0942
jerami grant,3,1,2018,0.085
avery bradley,2,1,2018,0.1177999999999999
deandre jordan,1,0,2018,0.2248
doug mcdermott,3,0,2018,0.072
ersan ilyasova,3,0,2018,0.0687
nemanja bjelica,3,0,2018,0.0638
jabari parker,1,0,2018,0.1963
fred vanvleet,2,1,2018,0.085
julius randle,2,0,2018,0.0848
joe harris,2,1,2018,0.0818
trevor ariza,1,0,2018,0.1472
davis bertans,2,1,2018,0.0687
tyreke evans,1,0,2018,0.1217
jj redick,1,1,2018,0.1202999999999999
montrezl harrell,2,1,2018,0.0588999999999999
kentavious caldwellpope,1,1,2018,0.1177999999999999
marco belinelli,2,0,2018,0.0604
dwight howard,2,0,2018,0.0524
aron baynes,2,1,2018,0.051
rudy gay,1,1,2018,0.099
tony parker,2,0,2018,0.0491
rajon rondo,1,0,2018,0.0883
alex len,2,0,2018,0.0426999999999999
wayne ellington,1,1,2018,0.0233999999999999
yogi ferrell,2,0,2018,0.0295
patrick mccaw,2,0,2018,0.0077
bryn forbes,2,1,2018,0.0306999999999999
anthony tolliver,1,0,2018,0.0564
demarcus cousins,1,0,2018,0.0524
dirk nowitzki,1,1,2018,0.0491
georges niang,3,1,2018,0.0148
monte morris,3,1,2018,0.0132
ed davis,1,0,2018,0.0437
kyle oquinn,1,0,2018,0.0437
lance stephenson,1,0,2018,0.0437
raul neto,2,1,2018,0.0210999999999999
mike scott,1,0,2018,0.0424
glenn robinson,1,0,2018,0.04
torrey craig,2,1,2018,0.0196
shabazz napier,2,0,2018,0.0191
nerlens noel,2,0,2018,0.0173
rodney hood,1,1,2018,0.0341
james ennis,2,0,2018,0.0159
brook lopez,1,0,2018,0.0332
pat connaughton,2,0,2018,0.0161
treveon graham,2,0,2018,0.0148
derrick jones,2,1,2018,0.0148
elfrid payton,1,0,2018,0.0295
tyrone wallace,2,1,2018,0.0132
seth curry,1,0,2018,0.0274
dante cunningham,1,0,2018,0.0243999999999999
channing frye,1,0,2018,0.0148
devin harris,1,0,2018,0.0148
luol deng,1,0,2018,0.0148
amir johnson,1,1,2018,0.0148
jose calderon,1,0,2018,0.0148
vince carter,1,0,2018,0.0148
raymond felton,1,1,2018,0.0148
zaza pachulia,1,0,2018,0.0148
jeff green,1,0,2018,0.0148
jamal crawford,1,0,2018,0.0148
udonis haslem,1,1,2018,0.0148
javale mcgee,1,0,2018,0.0148
dwyane wade,1,1,2018,0.0148
gerald green,1,1,2018,0.0148
derrick rose,1,1,2018,0.0148
jonas jerebko,1,0,2018,0.0148
greg monroe,1,0,2018,0.0006
isaiah thomas,1,0,2018,0.0148
shelvin mack,1,0,2018,0.0148
michael carterwilliams,1,0,2018,0.0006
nik stauskas,1,0,2018,0.0049
bruno caboclo,1,0,2018,0.0051
noah vonleh,1,0,2018,0.0148
luke kornet,1,1,2018,0.0159
jahlil okafor,1,0,2018,0.0154
