Player,year,MIN_PER_GAME,ATTENDANCE_RATE,MAJOR_INJURY
aj price,2011,15.902933334,0.609756098,0
aaron brooks,2011,21.764943508474577,0.719512195,0
aaron gray,2011,12.946951219512195,0.5,0
acie law,2011,14.232908496078432,0.62195122,0
al harrington,2011,22.80203195890411,0.890243902,0
al horford,2011,35.1130735974026,0.93902439,0
al jefferson,2011,35.85869918292683,1.0,0
al thornton,2011,19.487206577464786,0.865853659,0
alfarouq aminu,2011,17.92388888888889,0.987804878,0
alexis ajinca,2011,9.995294117647058,0.414634146,0
alonzo gee,2011,19.953363089285716,0.682926829,0
amare stoudemire,2011,36.795021371794874,0.951219512,0
amir johnson,2011,25.731273152777778,0.87804878,0
anderson varejao,2011,32.061129032258066,0.37804878,0
andray blatche,2011,33.936432296875,0.780487805,0
andre iguodala,2011,36.84609452238806,0.817073171,1
andre miller,2011,32.71259259259259,0.987804878,0
andrea bargnani,2011,35.652247469696974,0.804878049,0
andrei kirilenko,2011,31.234114578125,0.780487805,0
andres nocioni,2011,17.237376542592592,0.658536585,0
andrew bogut,2011,35.344205123076925,0.792682927,0
andrew bynum,2011,27.777870370370373,0.658536585,0
andris biedrins,2011,23.679491525423728,0.719512195,0
andy rautins,2011,4.82,0.06097561,0
antawn jamison,2011,32.896369053571426,0.682926829,0
anthony carter,2011,14.03929293030303,0.402439024,0
anthony morrow,2011,32.00735632758621,0.707317073,0
anthony parker,2011,29.044166666666666,0.87804878,0
anthony randolph,2011,14.7410416675,0.487804878,0
anthony tolliver,2011,20.96023076923077,0.792682927,0
antoine wright,2011,4.4799999999999995,0.085365854,0
antonio daniels,2011,8.8241666675,0.048780488,0
antonio mcdyess,2011,18.992625575342466,0.890243902,0
armon johnson,2011,7.300964913157895,0.463414634,0
arron afflalo,2011,33.68541062318841,0.841463415,0
austin daye,2011,20.084930555555555,0.87804878,0
avery bradley,2011,5.241612903225807,0.37804878,0
baron davis,2011,28.43600574137931,0.707317073,0
ben gordon,2011,25.98609756097561,1.0,0
ben uzoh,2011,10.418531745238095,0.512195122,0
ben wallace,2011,22.92932098148148,0.658536585,0
beno udrih,2011,34.601434594936705,0.963414634,0
blake griffin,2011,37.94479674390244,1.0,0
bobby simmons,2011,7.759166665,0.024390244,0
boris diaw,2011,33.88140243902439,1.0,0
brad miller,2011,16.923777783333332,0.731707317,0
brandan wright,2011,10.234414413513514,0.451219512,0
brandon bass,2011,26.05519736842105,0.926829268,0
brandon jennings,2011,34.42285714285714,0.768292683,0
brandon roy,2011,27.866170212765958,0.573170732,0
brandon rush,2011,26.177338313432838,0.817073171,0
brendan haywood,2011,18.491180555555555,0.87804878,0
brian cardinal,2011,11.035267857142857,0.682926829,0
brian cook,2011,11.1807083325,0.487804878,0
brian scalabrine,2011,4.887685185,0.219512195,0
brian skinner,2011,2.9416666665,0.024390244,0
brook lopez,2011,35.22871951219512,1.0,0
byron mullens,2011,6.545641025384615,0.158536585,0
cj watson,2011,13.30162601219512,1.0,0
cj miles,2011,25.238696576923076,0.951219512,0
carl landry,2011,26.41967105263158,0.926829268,0
carlos arroyo,2011,18.511796875,0.780487805,0
carlos boozer,2011,31.89426554237288,0.719512195,0
carlos delfino,2011,32.45843536734694,0.597560976,0
carmelo anthony,2011,35.73051948051948,0.93902439,0
caron butler,2011,29.902356320689655,0.353658537,0
cartier martin,2011,10.42669871730769,0.634146341,0
channing frye,2011,33.00164502597403,0.93902439,0
charlie bell,2011,8.996052631578948,0.231707317,0
charlie villanueva,2011,21.916557013157895,0.926829268,0
chase budinger,2011,22.27594016666667,0.951219512,0
chauncey billups,2011,32.08532406944445,0.87804878,0
chris andersen,2011,16.273777777777777,0.548780488,0
chris bosh,2011,36.2956277012987,0.93902439,0
chris douglasroberts,2011,20.0925,0.536585366,0
chris duhon,2011,15.176928103921568,0.62195122,0
chris johnson,2011,9.920238092857144,0.170731707,0
chris kaman,2011,26.173125,0.390243902,0
chris paul,2011,35.9955416625,0.975609756,0
chris quinn,2011,7.123292682926829,0.5,0
