Player,player_height,player_weight,year
randy livingston,193.04,94.800728,1996
gaylon nickerson,190.5,86.18248,1994
george lynch,203.2,103.418976,1993
george mccloud,203.2,102.0582,1989
george zidek,213.36,119.748288,1995
gerald wilkins,198.12,102.0582,1985
gheorghe muresan,231.14,137.438376,1993
glen rice,203.2,99.79024,1989
glenn robinson,200.66,106.59412,1994
grant hill,203.2,102.0582,1994
gary trent,203.2,113.398,1995
grant long,205.74,112.490816,1988
greg anthony,185.42,81.64656,1991
greg dreiling,215.9,120.20188,1986
greg foster,210.82,113.398,1990
greg graham,193.04,82.553744,1993
greg minor,198.12,95.25432,1994
greg ostertag,218.44,127.00576,1995
hakeem olajuwon,213.36,115.66596,1984
harvey grant,205.74,102.0582,1988
haywoode workman,187.96,81.64656,1989
greg anderson,208.28,113.398,1987
gary payton,193.04,86.18248,1990
gary grant,190.5,83.91452,1988
fred roberts,208.28,98.883056,1982
eldridge recasner,193.04,86.18248,1992
elliot perry,182.88,72.57472,1991
elmer bennett,182.88,77.11064,1992
elmore spencer,213.36,122.46984,1992
emanual davis,195.58,87.996848,Undrafted
ennis whatley,190.5,80.28578399999998,1983
eric leckner,210.82,120.20188,1988
eric mobley,210.82,106.59412,1994
eric montross,213.36,122.46984,1994
eric murdock,185.42,86.18248,1991
eric piatkowski,200.66,97.52228,1994
eric snow,190.5,90.7184,1995
eric williams,203.2,99.79024,1995
erick dampier,210.82,120.20188,1996
erick strickland,190.5,95.25432,Undrafted
ervin johnson,210.82,111.13004,1993
evric gray,200.66,106.59412,Undrafted
felton spencer,213.36,127.00576,1990
frank brickowski,205.74,108.86208,1981
frankie king,185.42,83.91452,1995
fred hoiberg,193.04,92.079176,1995
henry james,203.2,99.79024,Undrafted
elden campbell,213.36,113.398,1990
herb williams,210.82,117.93392,1981
horace grant,208.28,111.13004,1987
jerome williams,205.74,93.439952,1996
jerry stackhouse,198.12,98.883056,1995
jim jackson,198.12,97.52228,1992
jim mcilvaine,215.9,117.93392,1994
jimmy carruth,208.28,120.20188,Undrafted
jimmy king,195.58,95.25432,1995
jimmy oliver,195.58,92.98636,1991
joe courtney,203.2,106.59412,Undrafted
joe dumars,190.5,88.45044,1985
jerome kersey,200.66,108.86208,1984
joe kleine,213.36,122.923432,1985
joe stephens,200.66,95.25432,Undrafted
joe wolf,210.82,117.93392,1987
john crotty,187.96,83.91452,Undrafted
john long,195.58,90.7184,1978
john starks,195.58,83.91452,Undrafted
john stockton,185.42,79.3786,1984
john wallace,205.74,102.0582,1996
johnny newman,200.66,90.7184,1986
jon barry,195.58,92.98636,1992
joe smith,208.28,102.0582,1995
jerome allen,193.04,83.46092800000001,1995
jermaine oneal,210.82,102.511792,1996
jeff mcinnis,193.04,86.18248,1996
horacio llamas,210.82,129.27372,Undrafted
hot rod williams,210.82,111.13004,1985
howard eisley,187.96,80.28578399999998,1994
hubert davis,195.58,83.007336,1992
ike austin,208.28,122.46984,1991
isaiah rider,195.58,97.52228,1993
ivano newbill,208.28,111.13004,1994
jack haley,208.28,109.769264,1987
jalen rose,203.2,95.25432,1994
jamal mashburn,203.2,113.398,1993
james robinson,187.96,81.64656,1993
james scott,198.12,81.64656,Undrafted
jamie feick,203.2,115.66596,1996
jamie watson,200.66,86.18248,1994
jaren jackson,198.12,95.25432,Undrafted
jason caffey,203.2,116.119552,1995
jason kidd,193.04,94.347136,1994
jason sasser,200.66,102.0582,1996
jayson williams,205.74,108.86208,1990
jeff grayer,195.58,95.25432,1988
jeff hornacek,193.04,86.18248,1986
hersey hawkins,190.5,86.18248,1988
eddie jones,198.12,86.18248,1994
eddie johnson,200.66,97.52228,1981
ed pinckney,205.74,108.86208,1985
chris jent,200.66,99.79024,Undrafted
chris mills,200.66,97.975872,1993
chris morris,203.2,99.79024,1988
chris mullin,200.66,97.52228,1985
chris robinson,195.58,90.7184,1996
chris webber,208.28,111.13004,1993
chris whitney,182.88,77.11064,1993
christian laettner,210.82,111.13004,1992
chucky brown,203.2,97.52228,1989
chris gatling,208.28,104.32616,1991
clar weatherspoon,200.66,108.86208,1992
clifford rozier,210.82,104.32616,1994
clyde drexler,200.66,100.697424,1983
corie blount,208.28,109.769264,1993
corliss williamson,200.66,111.13004,1995
cory alexander,185.42,86.18248,1995
craig ehlo,198.12,81.64656,1983
cuonzo martin,195.58,96.615096,1995
dale davis,210.82,104.32616,1991
dale ellis,200.66,97.52228,1983
clifford robinson,208.28,102.0582,1989
chris dudley,210.82,108.86208,1987
chris childs,190.5,88.45044,Undrafted
chris carr,198.12,99.79024,1995
brian evans,203.2,99.79024,1996
brian grant,205.74,115.212368,1994
brian shaw,198.12,90.7184,1988
brooks thompson,193.04,87.543256,1994
bruce bowen,200.66,90.7184,Undrafted
bryant reeves,213.36,124.7378,1995
bryant stith,195.58,94.347136,1992
bryon russell,200.66,102.0582,1993
buck williams,203.2,102.0582,1981
byron scott,193.04,92.98636,1983
calbert cheaney,200.66,97.52228,1993
carl herrera,205.74,102.0582,1990
carl thomas,193.04,79.3786,Undrafted
carlos rogers,210.82,99.79024,1994
