feature,correlation,abs_correlation
PTS_t2,0.7727200398202917,0.7727200398202917
FG_t2,0.7571540642856825,0.7571540642856825
FGA_t2,0.7501048704975017,0.7501048704975017
PTS_t1,0.7392794347419199,0.7392794347419199
VORP,0.7392126095351691,0.7392126095351691
FT_t2,0.7365733068705304,0.7365733068705304
PTS,0.7339081207682278,0.7339081207682278
FTA_t2,0.7250849940223778,0.7250849940223778
FG,0.7233305084142807,0.7233305084142807
FT_t1,0.7231956540010586,0.7231956540010586
FG_t1,0.7180312297349419,0.7180312297349419
TOV_t2,0.7176804315679715,0.7176804315679715
FTA_t1,0.7141491820226329,0.7141491820226329
FT,0.7124654442813955,0.7124654442813955
VORP_t1,0.7084926052583465,0.7084926052583465
2PA_t2,0.7015606252162191,0.7015606252162191
FGA,0.7013859465724647,0.7013859465724647
FGA_t1,0.7009519277662549,0.7009519277662549
FTA,0.6991939720904089,0.6991939720904089
YRS,0.6990082097208923,0.6990082097208923
2PA,0.6939620517102287,0.6939620517102287
VORP_t2,0.6902637374306282,0.6902637374306282
2P_t2,0.6876854128006105,0.6876854128006105
2P,0.6871635535441885,0.6871635535441885
TOV_t1,0.6832685807116999,0.6832685807116999
MP_t2,0.6786860641910221,0.6786860641910221
TOV,0.6728496108526076,0.6728496108526076
2PA_t1,0.6690816413329248,0.6690816413329248
WS,0.6674795584616369,0.6674795584616369
2P_t1,0.6599013500717869,0.6599013500717869
AST_t2,0.6533313292455579,0.6533313292455579
OWS,0.6400353504507317,0.6400353504507317
GS,0.6267242359802364,0.6267242359802364
OBPM,0.6220388965289345,0.6220388965289345
AST_t1,0.6170349716769127,0.6170349716769127
PTS_per_36,0.6169571976096034,0.6169571976096034
WS_t1,0.6132057864978062,0.6132057864978062
Rk,-0.6086281957762408,0.6086281957762408
Rk_t1,-0.6037975587974366,0.6037975587974366
GS_t2,0.6023239720300674,0.6023239720300674
MP_t1,0.5989912805394918,0.5989912805394918
WS_t2,0.5952906451902931,0.5952906451902931
OWS_t1,0.5950971349842606,0.5950971349842606
GS_t1,0.5903295705375605,0.5903295705375605
DRB_t2,0.5824831341271507,0.5824831341271507
AST,0.578829834741874,0.578829834741874
Rk_t2,-0.5787125132877979,0.5787125132877979
OWS_t2,0.5740602123935892,0.5740602123935892
MP,0.5716321690648317,0.5716321690648317
OBPM_t1,0.564827987091629,0.564827987091629
BPM,0.5647379821186493,0.5647379821186493
DWS,0.5442767915064176,0.5442767915064176
OBPM_t2,0.534542394336617,0.534542394336617
DRB,0.5246080321422234,0.5246080321422234
DRB_t1,0.5189352452339658,0.5189352452339658
3PA_t2,0.5149498822370658,0.5149498822370658
BPM_t1,0.5138711384842058,0.5138711384842058
DWS_t2,0.5035429206162273,0.5035429206162273
3P_t2,0.5010465551239366,0.5010465551239366
TRB_t2,0.4934740252803158,0.4934740252803158
STL,0.4914057172261411,0.4914057172261411
DWS_t1,0.48626856005468416,0.48626856005468416
STL_t1,0.48197462816666764,0.48197462816666764
BPM_t2,0.46855057827999447,0.46855057827999447
USG%_t2,0.46646348991979897,0.46646348991979897
3PA,0.46235848620164904,0.46235848620164904
3PA_t1,0.46201805990792016,0.46201805990792016
STL_t2,0.4614048138885268,0.4614048138885268
3P,0.4562945685834199,0.4562945685834199
3P_t1,0.4529910603344854,0.4529910603344854
TRB_t1,0.4500353301911813,0.4500353301911813
TRB,0.4471104652482062,0.4471104652482062
AST%_t2,0.44324468226306557,0.44324468226306557
USG%,0.4241059750290365,0.4241059750290365
PER_t2,0.40707131660963947,0.40707131660963947
PER,0.4017177562463975,0.4017177562463975
AST%,0.39780223531985537,0.39780223531985537
AST_per_36,0.3902370953638956,0.3902370953638956
TS_USG_ratio,-0.38881307123872255,0.38881307123872255
USG%_t1,0.38153057634063514,0.38153057634063514
PER_t1,0.3784913314857189,0.3784913314857189
AST%_t1,0.36836641468789716,0.36836641468789716
PF_t2,0.3516442801641955,0.3516442801641955
Age_MP_interaction,0.33863562523443086,0.33863562523443086
PF,0.3368166992722912,0.3368166992722912
PF_t1,0.3183317820115122,0.3183317820115122
WS/48,0.2989016424650972,0.2989016424650972
is_retained,0.2872645331273878,0.2872645331273878
WS/48_t2,0.2848497086577416,0.2848497086577416
BLK_t2,0.27339353756924756,0.27339353756924756
BLK,0.26967992007028335,0.26967992007028335
BLK_t1,0.2575908045070459,0.2575908045070459
WS/48_t1,0.25228894405209834,0.25228894405209834
G_t2,0.22776775242259795,0.22776775242259795
G,0.2258931528115549,0.2258931528115549
Games_per_Year,-0.22302608071286278,0.22302608071286278
ORB_t2,0.17860877733019523,0.17860877733019523
ORB%_t1,-0.17620499617767807,0.17620499617767807
ORB,0.16470023009212537,0.16470023009212537
ORB_t1,0.15584517738610246,0.15584517738610246
Age_t1,-0.14749268078890207,0.14749268078890207
FTr_t2,0.14496029669135002,0.14496029669135002
ORB%,-0.13183584169087095,0.13183584169087095
FT%_t2,0.12429182677357282,0.12429182677357282
