Player,year,is_retained,age,has_playoff_exp,2P%_reg,2PA_reg,2P_reg,3P%_reg,3PA_reg,3PAr_reg,3P_reg,AST%_reg,AST_reg,BLK%_reg,BLK_reg,BPM_reg,DBPM_reg,DRB%_reg,DRB_reg,DWS_reg,FG%_reg,FGA_reg,FG_reg,FT%_reg,FTA_reg,FT_reg,FTr_reg,GS_reg,G_reg,MP_reg,OBPM_reg,ORB%_reg,ORB_reg,OWS_reg,PER_reg,PF_reg,PTS_reg,STL%_reg,STL_reg,TOV%_reg,TOV_reg,TRB%_reg,TRB_reg,TS%_reg,USG%_reg,VORP_reg,WS/48_reg,WS_reg,eFG%_reg,2P%_playoff,2PA_playoff,2P_playoff,3P%_playoff,3PA_playoff,3PAr_playoff,3P_playoff,AST%_playoff,AST_playoff,BLK%_playoff,BLK_playoff,BPM_playoff,DBPM_playoff,DRB%_playoff,DRB_playoff,DWS_playoff,FG%_playoff,FGA_playoff,FG_playoff,FT%_playoff,FTA_playoff,FT_playoff,FTr_playoff,GS_playoff,G_playoff,MP_playoff,OBPM_playoff,ORB%_playoff,ORB_playoff,OWS_playoff,PER_playoff,PF_playoff,PTS_playoff,STL%_playoff,STL_playoff,TOV%_playoff,TOV_playoff,TRB%_playoff,TRB_playoff,TS%_playoff,USG%_playoff,VORP_playoff,WS/48_playoff,WS_playoff,eFG%_playoff,VORP_Elevation,BPM_Elevation,Playoff_MP_Ratio,Cap_Pct,YRS
stephen curry,2017,1,28.0,1,0.5439,8.59,4.65,0.4303,9.98,0.5361,4.3,33.43,6.85,0.47,0.2,9.0,0.97,12.06,3.95,4.0,0.4826,18.57,8.95,0.9042,4.67,4.21,0.2507,79.2,79.2,33.5,8.08,2.7,0.81,10.79,27.35,2.15,26.44,2.8,1.93,13.23,3.11,7.629999999999999,4.73,0.6403000000000001,30.61,7.38,0.2675,14.81,0.5978,0.5264,8.42,4.42,0.4151,10.55,0.5569,4.36,28.77,6.19,0.52,0.21,8.71,1.04,13.71,4.66,1.0,0.4646,19.02,8.809999999999999,0.8937999999999999,5.83,5.23,0.3087,17.8,18.1,35.79,7.67,3.39,1.09,2.08,25.14,2.2,27.24,2.46,1.8,14.77,3.74,8.74,5.75,0.6318,30.83,1.7600000000000002,0.2272,3.05,0.5797,-5.619999999999999,-0.28999999999999915,0.1962433190679549,0.35,5
blake griffin,2017,1,27.0,0,0.509,15.4,7.800000000000001,0.3479,1.18,0.0714,0.38,25.65,4.98,1.02,0.45,4.5,0.62,20.37,6.359999999999999,2.16,0.4966,16.53,8.25,0.7437,6.380000000000001,4.720000000000001,0.3882,54.4,54.4,34.06,3.88,5.76,1.73,4.68,22.49,2.6900000000000004,21.6,1.34,0.8700000000000001,10.73,2.33,13.23,8.09,0.5579000000000001,28.62,3.04,0.1729,6.79,0.5089,0.509,15.4,7.800000000000001,0.3479,1.18,0.0714,0.38,25.65,4.98,1.02,0.45,4.5,0.62,20.37,6.359999999999999,2.16,0.4966,16.53,8.25,0.7437,6.380000000000001,4.720000000000001,0.3882,54.4,54.4,34.06,3.88,5.76,1.73,4.68,22.49,2.6900000000000004,21.6,1.34,0.8700000000000001,10.73,2.33,13.23,8.09,0.5579000000000001,28.62,3.04,0.1729,6.79,0.5089,0.0,0.0,0.5,0.3,5
gordon hayward,2017,0,26.0,0,0.4922999999999999,10.32,5.07,0.3765,4.94,0.3251,1.86,18.9,3.68,0.72,0.32,4.08,0.41,14.55,4.45,3.25,0.4543999999999999,15.260000000000002,6.98,0.8315999999999999,5.97,4.95,0.3896,75.7,75.7,34.99,3.72,2.38,0.73,6.359999999999999,20.630000000000003,1.83,20.72,1.7000000000000002,1.14,11.21,2.24,8.54,5.18,0.5786,26.75,4.04,0.1754,9.61,0.5159,0.4922999999999999,10.32,5.07,0.3765,4.94,0.3251,1.86,18.9,3.68,0.72,0.32,4.08,0.41,14.55,4.45,3.25,0.4543999999999999,15.260000000000002,6.98,0.8315999999999999,5.97,4.95,0.3896,75.7,75.7,34.99,3.72,2.38,0.73,6.359999999999999,20.630000000000003,1.83,20.72,1.7000000000000002,1.14,11.21,2.24,8.54,5.18,0.5786,26.75,4.04,0.1754,9.61,0.5159,0.0,0.0,0.5,0.3,4
jrue holiday,2017,1,26.0,0,0.4861999999999999,9.67,4.74,0.3544,3.98,0.2912,1.4,36.120000000000005,6.83,1.36,0.5599999999999999,1.84,-0.0199999999999999,10.25,2.95,1.88,0.4478999999999999,13.65,6.09,0.7778999999999999,2.62,2.06,0.1916999999999999,44.8,61.0,31.33,1.81,2.14,0.63,1.77,18.22,2.25,15.7,2.3200000000000003,1.49,15.31,2.69,6.15,3.53,0.5291,25.04,1.79,0.0935,3.6,0.4991,0.4861999999999999,9.67,4.74,0.3544,3.98,0.2912,1.4,36.120000000000005,6.83,1.36,0.5599999999999999,1.84,-0.0199999999999999,10.25,2.95,1.88,0.4478999999999999,13.65,6.09,0.7778999999999999,2.62,2.06,0.1916999999999999,44.8,61.0,31.33,1.81,2.14,0.63,1.77,18.22,2.25,15.7,2.3200000000000003,1.49,15.31,2.69,6.15,3.53,0.5291,25.04,1.79,0.0935,3.6,0.4991,0.0,0.0,0.5,0.2592,5
otto porter,2017,0,23.0,0,0.5469999999999999,5.48,2.99,0.3944999999999999,3.51,0.3772999999999999,1.44,7.08,1.41,1.32,0.45,1.88,0.81,15.28,4.07,2.67,0.4899,8.94,4.43,0.7889999999999999,1.48,1.15,0.1672,64.5,77.3,29.27,1.0699999999999998,5.08,1.32,4.3,15.32,2.12,11.38,2.08,1.29,7.12,0.71,10.17,5.36,0.5878,15.43,2.41,0.1406,6.92,0.5652999999999999,0.5469999999999999,5.48,2.99,0.3944999999999999,3.51,0.3772999999999999,1.44,7.08,1.41,1.32,0.45,1.88,0.81,15.28,4.07,2.67,0.4899,8.94,4.43,0.7889999999999999,1.48,1.15,0.1672,64.5,77.3,29.27,1.0699999999999998,5.08,1.32,4.3,15.32,2.12,11.38,2.08,1.29,7.12,0.71,10.17,5.36,0.5878,15.43,2.41,0.1406,6.92,0.5652999999999999,0.0,0.0,0.5,0.25,4
kyle lowry,2017,1,30.0,0,0.4887,8.16,3.98,0.39,7.15,0.4671,2.8200000000000003,30.4,6.78,0.73,0.31,5.39,0.51,12.31,3.98,2.66,0.4425,15.31,6.75,0.8144,5.869999999999999,4.78,0.3818,67.1,67.1,36.7,4.949999999999999,2.38,0.77,7.32,21.97,2.81,21.12,2.33,1.7000000000000002,13.57,2.8200000000000003,7.35,4.75,0.5903,25.36,4.63,0.195,9.95,0.5345,0.4887,8.16,3.98,0.39,7.15,0.4671,2.8200000000000003,30.4,6.78,0.73,0.31,5.39,0.51,12.31,3.98,2.66,0.4425,15.31,6.75,0.8144,5.869999999999999,4.78,0.3818,67.1,67.1,36.7,4.949999999999999,2.38,0.77,7.32,21.97,2.81,21.12,2.33,1.7000000000000002,13.57,2.8200000000000003,7.35,4.75,0.5903,25.36,4.63,0.195,9.95,0.5345,0.0,0.0,0.5,0.2897,3
tim hardaway,2017,0,24.0,0,0.5178,4.91,2.55,0.3477,4.51,0.4893,1.56,12.52,1.81,0.6199999999999999,0.17,-0.58,-0.74,9.73,2.07,1.35,0.4343,9.35,4.109999999999999,0.8110999999999999,2.12,1.71,0.2244,21.3,68.8,23.520000000000003,0.2099999999999999,1.33,0.27,1.7800000000000002,13.53,1.2600000000000002,11.47,1.13,0.53,8.870000000000001,1.04,5.550000000000001,2.35,0.5552999999999999,20.87,0.7,0.0896,3.13,0.5196000000000001,0.5178,4.91,2.55,0.3477,4.51,0.4893,1.56,12.52,1.81,0.6199999999999999,0.17,-0.58,-0.74,9.73,2.07,1.35,0.4343,9.35,4.109999999999999,0.8110999999999999,2.12,1.71,0.2244,21.3,68.8,23.520000000000003,0.2099999999999999,1.33,0.27,1.7800000000000002,13.53,1.2600000000000002,11.47,1.13,0.53,8.870000000000001,1.04,5.550000000000001,2.35,0.5552999999999999,20.87,0.7,0.0896,3.13,0.5196000000000001,0.0,0.0,0.5,0.1664999999999999,4
serge ibaka,2017,1,27.0,0,0.5192,8.66,4.5,0.3685,3.3600000000000003,0.2773,1.28,4.609999999999999,0.8700000000000001,4.609999999999999,1.85,0.05,-0.0699999999999999,17.98,5.24,2.74,0.4789,11.99,5.75,0.8208,1.62,1.34,0.1332,75.7,75.7,31.6,0.12,6.2,1.7600000000000002,2.58,15.69,2.76,14.04,0.78,0.5,9.83,1.37,12.1,7.0,0.5527,19.51,1.16,0.1074,5.319999999999999,0.5304,0.5192,8.66,4.5,0.3685,3.3600000000000003,0.2773,1.28,4.609999999999999,0.8700000000000001,4.609999999999999,1.85,0.05,-0.0699999999999999,17.98,5.24,2.74,0.4789,11.99,5.75,0.8208,1.62,1.34,0.1332,75.7,75.7,31.6,0.12,6.2,1.7600000000000002,2.58,15.69,2.76,14.04,0.78,0.5,9.83,1.37,12.1,7.0,0.5527,19.51,1.16,0.1074,5.319999999999999,0.5304,0.0,0.0,0.5,0.2025,3
danilo gallinari,2017,0,28.0,0,0.4663,6.91,3.21,0.3747,4.92,0.4243,1.84,9.97,2.08,0.71,0.28,1.99,-0.95,14.49,4.18,0.8200000000000001,0.4266999999999999,11.829999999999998,5.050000000000001,0.8904000000000001,6.15,5.46,0.5103,52.8,59.2,32.2,2.94,2.39,0.7,5.35,17.759999999999998,1.55,17.43,1.1,0.7,8.1,1.2999999999999998,8.41,4.93,0.5982,21.2,1.93,0.1529,6.07,0.5063,0.4663,6.91,3.21,0.3747,4.92,0.4243,1.84,9.97,2.08,0.71,0.28,1.99,-0.95,14.49,4.18,0.8200000000000001,0.4266999999999999,11.829999999999998,5.050000000000001,0.8904000000000001,6.15,5.46,0.5103,52.8,59.2,32.2,2.94,2.39,0.7,5.35,17.759999999999998,1.55,17.43,1.1,0.7,8.1,1.2999999999999998,8.41,4.93,0.5982,21.2,1.93,0.1529,6.07,0.5063,0.0,0.0,0.5,0.2075,3
paul millsap,2017,0,31.0,0,0.4992,10.35,5.14,0.3224,3.22,0.2358,1.04,16.95,3.46,2.8599999999999994,1.14,2.99,1.8000000000000005,20.2,6.21,4.56,0.4572,13.55,6.18,0.7625,5.37,4.09,0.3958,72.4,73.4,33.35,1.19,6.550000000000001,1.9,3.33,19.34,2.78,17.52,2.3200000000000003,1.5500000000000005,12.7,2.33,13.5,8.11,0.5508,24.25,3.09,0.1541,7.89,0.4956,0.4992,10.35,5.14,0.3224,3.22,0.2358,1.04,16.95,3.46,2.8599999999999994,1.14,2.99,1.8000000000000005,20.2,6.21,4.56,0.4572,13.55,6.18,0.7625,5.37,4.09,0.3958,72.4,73.4,33.35,1.19,6.550000000000001,1.9,3.33,19.34,2.78,17.52,2.3200000000000003,1.5500000000000005,12.7,2.33,13.5,8.11,0.5508,24.25,3.09,0.1541,7.89,0.4956,0.0,0.0,0.5,0.3105,2
george hill,2017,0,30.0,0,0.5101,7.109999999999999,3.67,0.3954999999999999,4.5600000000000005,0.3917,1.78,22.33,4.17,0.63,0.22,3.17,0.85,11.0,3.13,2.1100000000000003,0.4662,11.68,5.45,0.7865,3.26,2.5700000000000003,0.2758,53.6,55.3,31.880000000000003,2.35,2.09,0.61,3.76,17.91,2.27,15.3,1.69,1.03,10.84,1.59,6.609999999999999,3.74,0.5818,21.25,2.12,0.1669999999999999,5.890000000000001,0.5436000000000001,0.5101,7.109999999999999,3.67,0.3954999999999999,4.5600000000000005,0.3917,1.78,22.33,4.17,0.63,0.22,3.17,0.85,11.0,3.13,2.1100000000000003,0.4662,11.68,5.45,0.7865,3.26,2.5700000000000003,0.2758,53.6,55.3,31.880000000000003,2.35,2.09,0.61,3.76,17.91,2.27,15.3,1.69,1.03,10.84,1.59,6.609999999999999,3.74,0.5818,21.25,2.12,0.1669999999999999,5.890000000000001,0.5436000000000001,0.0,0.0,0.5,0.2018,3
jeff teague,2017,0,28.0,0,0.4729,8.56,4.049999999999999,0.3674,3.16,0.2682,1.17,36.1,7.07,1.03,0.37,2.0700000000000003,-0.05,10.32,2.91,2.66,0.4447,11.739999999999998,5.22,0.857,4.6,3.95,0.3953,78.8,79.3,30.85,2.14,1.5,0.4,4.69,19.09,2.01,15.54,2.16,1.2999999999999998,16.43,2.7,6.0,3.31,0.5654999999999999,24.090000000000003,2.53,0.1437,7.359999999999999,0.4945,0.4729,8.56,4.049999999999999,0.3674,3.16,0.2682,1.17,36.1,7.07,1.03,0.37,2.0700000000000003,-0.05,10.32,2.91,2.66,0.4447,11.739999999999998,5.22,0.857,4.6,3.95,0.3953,78.8,79.3,30.85,2.14,1.5,0.4,4.69,19.09,2.01,15.54,2.16,1.2999999999999998,16.43,2.7,6.0,3.31,0.5654999999999999,24.090000000000003,2.53,0.1437,7.359999999999999,0.4945,0.0,0.0,0.5,0.1917,3
joe ingles,2017,1,29.0,0,0.4934,1.73,0.8300000000000001,0.4075,3.0,0.6403,1.23,15.59,2.17,0.3399999999999999,0.07,0.6200000000000001,1.85,12.62,2.31,2.3,0.4367999999999999,4.73,2.08,0.7341,0.56,0.44,0.1167,20.0,81.1,20.83,-1.23,1.54,0.27,1.31,11.21,1.6800000000000002,5.81,2.45,0.99,18.65,1.13,7.13,2.6100000000000003,0.5802,13.58,1.17,0.1006,3.63,0.5673999999999999,0.4934,1.73,0.8300000000000001,0.4075,3.0,0.6403,1.23,15.59,2.17,0.3399999999999999,0.07,0.6200000000000001,1.85,12.62,2.31,2.3,0.4367999999999999,4.73,2.08,0.7341,0.56,0.44,0.1167,20.0,81.1,20.83,-1.23,1.54,0.27,1.31,11.21,1.6800000000000002,5.81,2.45,0.99,18.65,1.13,7.13,2.6100000000000003,0.5802,13.58,1.17,0.1006,3.63,0.5673999999999999,0.0,0.0,0.5,0.1427,4
dion waiters,2017,1,25.0,0,0.4315,8.41,3.66,0.3643,3.9,0.316,1.41,17.28,3.15,0.8600000000000001,0.32,-1.55,-0.48,9.33,2.46,1.63,0.4109,12.29,5.07,0.6729,2.44,1.62,0.199,30.6,62.4,28.85,-1.07,1.69,0.45,0.07,12.25,1.97,13.2,1.74,0.97,12.27,1.83,5.539999999999999,2.91,0.4931,22.96,0.0899999999999999,0.0473,1.65,0.469,0.4315,8.41,3.66,0.3643,3.9,0.316,1.41,17.28,3.15,0.8600000000000001,0.32,-1.55,-0.48,9.33,2.46,1.63,0.4109,12.29,5.07,0.6729,2.44,1.62,0.199,30.6,62.4,28.85,-1.07,1.69,0.45,0.07,12.25,1.97,13.2,1.74,0.97,12.27,1.83,5.539999999999999,2.91,0.4931,22.96,0.0899999999999999,0.0473,1.65,0.469,0.0,0.0,0.5,0.111,4
