Player,year,pct_of_cap,salary_cap,YRS,is_retained,Cap_Pct,Rk,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_t1,Age_t1,G_t1,GS_t1,MP_t1,FG_t1,FGA_t1,FG%_t1,3P_t1,3PA_t1,3P%_t1,2P_t1,2PA_t1,2P%_t1,eFG%_t1,FT_t1,FTA_t1,FT%_t1,ORB_t1,DRB_t1,TRB_t1,AST_t1,STL_t1,BLK_t1,TOV_t1,PF_t1,PTS_t1,PER_t1,TS%_t1,3PAr_t1,FTr_t1,ORB%_t1,DRB%_t1,TRB%_t1,AST%_t1,STL%_t1,BLK%_t1,TOV%_t1,USG%_t1,OWS_t1,DWS_t1,WS_t1,WS/48_t1,OBPM_t1,DBPM_t1,BPM_t1,VORP_t1,Rk_t2,Age_t2,G_t2,GS_t2,MP_t2,FG_t2,FGA_t2,FG%_t2,3P_t2,3PA_t2,3P%_t2,2P_t2,2PA_t2,2P%_t2,eFG%_t2,FT_t2,FTA_t2,FT%_t2,ORB_t2,DRB_t2,TRB_t2,AST_t2,STL_t2,BLK_t2,TOV_t2,PF_t2,PTS_t2,PER_t2,TS%_t2,3PAr_t2,FTr_t2,ORB%_t2,DRB%_t2,TRB%_t2,AST%_t2,STL%_t2,BLK%_t2,TOV%_t2,USG%_t2,OWS_t2,DWS_t2,WS_t2,WS/48_t2,OBPM_t2,DBPM_t2,BPM_t2,VORP_t2
Stephen Curry,2017,0.35,94143000,5,1,0.35,0.10638297872340403,0.2978723404255313,0.8404255319148919,0.8404255319148919,0.35531914893616945,0.09042553191489343,0.19468085106382937,0.004978723404255309,0.04361702127659565,0.10638297872340403,0.0043723404255319055,0.04680851063829778,0.08829787234042535,0.005712765957446797,0.006170212765957433,0.04361702127659565,0.04893617021276585,0.009553191489361682,0.008510638297872323,0.03936170212765949,0.04787234042553181,0.07021276595744666,0.019148936170212724,0.002127659574468081,0.03191489361702121,0.024468085106382924,0.2691489361702122,0.2617021276595739,0.006638297872340411,0.005819148936170201,0.002670212765957441,0.02872340425531909,0.1212765957446806,0.07765957446808494,0.3319148936170206,0.02765957446808505,0.005319148936170201,0.13829787234042523,0.32021276595744613,0.0925531914893615,0.041489361702127574,0.13404255319148908,0.0024361702127659525,0.0712765957446807,0.003191489361702121,0.07340425531914878,0.06276595744680838,0.03829787234042545,0.185106382978723,0.3255319148936163,0.3255319148936163,0.20425531914893574,0.05361702127659563,0.10787234042553168,0.0031595744680850994,0.026808510638297815,0.06255319148936157,0.002699999999999994,0.026808510638297815,0.04531914893617012,0.0037978723404255236,0.003944680851063821,0.03510638297872333,0.03765957446808503,0.005878723404255306,0.004468085106382969,0.028085106382978665,0.03255319148936163,0.038936170212765873,0.010212765957446787,0.0012765957446808484,0.019148936170212724,0.014042553191489332,0.16851063829787197,0.1799999999999996,0.004308510638297863,0.00370212765957446,0.0022340425531914847,0.017234042553191452,0.09191489361702108,0.05744680851063817,0.1934042553191485,0.015319148936170179,0.002553191489361697,0.08489361702127642,0.19787234042553148,0.04595744680851054,0.011489361702127636,0.0580851063829786,0.0017042553191489328,0.049787234042553086,0.0,0.04914893617021266,0.025531914893616968,0.02553191489361697,0.12765957446808485,0.2936170212765951,0.2936170212765951,0.14382978723404224,0.03914893617021268,0.08255319148936152,0.002008510638297868,0.02170212765957442,0.049787234042553086,0.0018595744680851025,0.017021276595744646,0.03276595744680844,0.0022340425531914847,0.0025702127659574417,0.016170212765957412,0.017872340425531878,0.0038978723404255243,0.0029787234042553123,0.01999999999999996,0.022553191489361656,0.02212765957446804,0.00553191489361701,0.0017021276595744648,0.01191489361702125,0.010212765957446787,0.11617021276595722,0.10382978723404233,0.0027276595744680793,0.0025702127659574417,0.0009106382978723386,0.009361702127659556,0.060425531914893485,0.035744680851063755,0.1029787234042551,0.008085106382978706,0.0038297872340425456,0.04936170212765947,0.1293617021276593,0.030638297872340365,0.010638297872340403,0.04127659574468076,0.0008468085106382961,0.030212765957446742,-0.002127659574468081,0.028085106382978665,0.02170212765957442
Blake Griffin,2017,0.3,94143000,5,1,0.3,0.2872340425531909,0.2872340425531909,0.6489361702127646,0.6489361702127646,0.3617021276595737,0.08404255319148919,0.1691489361702124,0.005244680851063818,0.006382978723404242,0.020212765957446765,0.0035744680851063754,0.0765957446808509,0.1499999999999997,0.005468085106382968,0.005457446808510627,0.0553191489361701,0.07340425531914878,0.008085106382978706,0.019148936170212724,0.06702127659574454,0.08617021276595727,0.05212765957446798,0.009574468085106362,0.004255319148936162,0.024468085106382924,0.02765957446808505,0.22978723404255272,0.24042553191489313,0.006053191489361689,0.0012340425531914868,0.004617021276595735,0.0659574468085105,0.21489361702127613,0.1425531914893614,0.2606382978723399,0.014893617021276563,0.009574468085106362,0.1159574468085104,0.2978723404255313,0.05744680851063818,0.025531914893616968,0.0819148936170211,0.001904255319148932,0.04468085106382969,0.005319148936170201,0.0499999999999999,0.03723404255319141,0.14042553191489332,0.17872340425531877,0.370212765957446,0.370212765957446,0.21702127659574422,0.04787234042553181,0.10978723404255294,0.0027957446808510576,0.012127659574468059,0.035744680851063755,0.0022021276595744635,0.035744680851063755,0.07404255319148921,0.003076595744680844,0.0031468085106382913,0.028723404255319086,0.03638297872340418,0.00501063829787233,0.008297872340425515,0.038936170212765873,0.04723404255319139,0.037021276595744605,0.004468085106382969,0.0019148936170212724,0.017872340425531878,0.015319148936170179,0.13659574468085076,0.12510638297872315,0.003472340425531908,0.0020617021276595703,0.002112765957446804,0.026170212765957386,0.12638297872340398,0.0765957446808509,0.1793617021276592,0.006382978723404242,0.005106382978723394,0.08042553191489345,0.18446808510638257,0.020425531914893574,0.011489361702127636,0.03127659574468079,0.000765957446808509,0.02297872340425527,-0.0012765957446808484,0.02170212765957442,0.017234042553191452,0.05957446808510626,0.12340425531914868,0.3191489361702121,0.3191489361702121,0.14893617021276565,0.03531914893617014,0.07617021276595728,0.001965957446808507,0.010638297872340403,0.02978723404255313,0.0015404255319148904,0.02425531914893612,0.04638297872340416,0.0022340425531914847,0.002263829787234038,0.02340425531914889,0.031063829787233977,0.0032042553191489295,0.00553191489361701,0.026382978723404202,0.03191489361702121,0.02297872340425527,0.0029787234042553123,0.0017021276595744648,0.01446808510638295,0.011489361702127636,0.10425531914893596,0.08936170212765938,0.0024723404255319096,0.001655319148936167,0.0017446808510638262,0.017021276595744646,0.08553191489361685,0.05021276595744671,0.11531914893616999,0.004255319148936162,0.0038297872340425456,0.05872340425531903,0.12851063829787207,0.02170212765957442,0.012340425531914867,0.03404255319148929,0.0006255319148936156,0.020851063829787193,0.0008510638297872324,0.02170212765957442,0.01999999999999996
Gordon Hayward,2017,0.3,94143000,4,0,0.3,0.27837259100642336,0.27837259100642336,0.7815845824411117,0.7815845824411117,0.36937901498929254,0.08029978586723752,0.16916488222698037,0.005042826552462515,0.021413276231263337,0.054603854389721505,0.004261241970021404,0.05781584582441101,0.11456102783725884,0.005417558886509624,0.005738758029978574,0.05353319057815834,0.06316916488222685,0.009036402569593127,0.007494646680942167,0.050321199143468845,0.05781584582441101,0.037473233404710836,0.010706638115631668,0.0032119914346895005,0.02034261241970017,0.01713062098501067,0.2344753747323335,0.23768736616702302,0.006370449678800842,0.0034689507494646606,0.003972162740899349,0.024625267665952834,0.1648822269807277,0.09635974304068501,0.19486081370449634,0.016059957173447503,0.006423982869379001,0.10064239828693769,0.29550321199143403,0.07601713062098484,0.0353319057815845,0.11134903640256935,0.002130620985010702,0.04925053533190567,0.005353319057815834,0.05353319057815834,0.048179871520342504,3.0449678800856463,0.17344753747323302,0.006423982869379001,0.006423982869379001,0.032119914346895005,0.006423982869379001,0.012847965738758002,0.0032119914346895005,0.0,0.006423982869379001,0.0,0.006423982869379001,0.006423982869379001,0.006423982869379001,0.0032119914346895005,0.0,0.0,,0.0,0.006423982869379001,0.006423982869379001,0.0,0.0,0.0,0.0,0.006423982869379001,0.012847965738758002,0.046895074946466705,0.0032119914346895005,0.0032119914346895005,0.0,0.0,0.13875802997858644,0.07002141327623111,0.0,0.0,0.0,0.0,0.1149892933618841,0.0,0.0,0.0,0.000359743040685224,-0.0423982869379014,-0.0051391862955032005,-0.04753747323340461,0.0,0.5824411134903628,0.1199143468950747,0.30835117773019205,0.07708779443254801,0.11092077087794408,0.017558886509635933,0.03768736616702348,0.001995717344753743,0.004710920770877935,0.013704496788008539,0.0014261241970021383,0.012847965738758004,0.023982869379014934,0.002321199143468946,0.002256959314775156,0.00942184154175587,0.011134903640256936,0.0035717344753747244,0.002997858672376867,0.016274089935760135,0.019271948608137003,0.01456102783725907,0.003854389721627401,0.0012847965738758001,0.006423982869379002,0.005995717344753734,0.04925053533190568,0.06680942184154161,0.0024625267665952834,0.001558886509635971,0.001259100642398284,0.012419700214132735,0.06638115631691635,0.039400428265524534,0.07880085653104907,0.006852248394004269,0.004710920770877935,0.054817987152034155,0.08137044967880068,0.011134903640256936,0.009850107066381134,0.020985010706638073,0.0005396145610278361,0.0017130620985010673,0.0017130620985010673,0.0034261241970021347,0.005567451820128468
Jrue Holiday,2017,0.2592,94143000,5,1,0.2592,0.6276595744680837,0.27659574468085046,0.712765957446807,0.6489361702127646,0.3478723404255312,0.06382978723404242,0.14148936170212736,0.0048297872340425435,0.015957446808510606,0.04468085106382969,0.003787234042553183,0.04893617021276585,0.09680851063829767,0.005297872340425521,0.005425531914893605,0.019148936170212724,0.02659574468085101,0.007531914893617005,0.007446808510638282,0.03510638297872333,0.041489361702127574,0.07765957446808494,0.015957446808510606,0.007446808510638282,0.030851063829787168,0.021276595744680805,0.1638297872340422,0.1819148936170209,0.005659574468085095,0.003351063829787227,0.0019999999999999957,0.02340425531914889,0.11276595744680827,0.06808510638297859,0.38191489361702047,0.02340425531914889,0.017021276595744646,0.17765957446808472,0.24999999999999947,0.013829787234042525,0.02765957446808505,0.04042553191489353,0.0008936170212765939,0.010638297872340403,0.002127659574468081,0.013829787234042525,0.019148936170212724,0.21063829787233998,0.17234042553191453,0.5170212765957436,0.5170212765957436,0.23042553191489312,0.048510638297872236,0.09829787234042532,0.0031531914893616953,0.009574468085106362,0.028085106382978665,0.0021510638297872297,0.038936170212765873,0.07021276595744666,0.003555319148936163,0.003465957446808504,0.014680851063829756,0.018510638297872303,0.005017021276595734,0.005106382978723394,0.023617021276595696,0.028723404255319086,0.03829787234042545,0.009574468085106362,0.005106382978723394,0.01659574468085103,0.015957446808510606,0.1212765957446806,0.1136170212765955,0.0036382978723404173,0.001825531914893613,0.0012191489361702101,0.015319148936170179,0.06893617021276581,0.04340425531914884,0.1589361702127656,0.012765957446808484,0.01085106382978721,0.08680851063829768,0.147446808510638,0.026808510638297815,0.018510638297872303,0.04531914893617012,0.000740425531914892,0.008297872340425515,0.0019148936170212724,0.010212765957446787,0.017234042553191452,0.10638297872340403,0.11914893617021252,0.2851063829787228,0.2851063829787228,0.15276595744680818,0.03489361702127652,0.0736170212765956,0.002008510638297868,0.007659574468085091,0.02297872340425527,0.0013829787234042525,0.027234042553191437,0.050638297872340324,0.002293617021276591,0.0022255319148936125,0.013191489361702101,0.017021276595744646,0.0032680851063829723,0.004680851063829778,0.01659574468085103,0.021276595744680805,0.03276595744680844,0.006808510638297859,0.0034042553191489296,0.013191489361702101,0.009361702127659556,0.09021276595744662,0.08255319148936152,0.00236170212765957,0.0013319148936170185,0.000995744680851062,0.014042553191489332,0.04680851063829778,0.030638297872340365,0.13531914893616992,0.008936170212765939,0.007659574468085091,0.05999999999999988,0.1080851063829785,0.014893617021276565,0.008085106382978706,0.02297872340425527,0.0004595744680851054,0.013191489361702101,-0.0004255319148936162,0.012765957446808486,0.013191489361702101
Otto Porter Jr.,2017,0.25,94143000,4,0,0.25,0.9574468085106362,0.24468085106382928,0.8510638297872323,0.8510638297872323,0.34680851063829715,0.0553191489361701,0.10638297872340403,0.0054893617021276484,0.020212765957446765,0.04574468085106373,0.004617021276595735,0.03510638297872333,0.061702127659574335,0.006127659574468072,0.006468085106382965,0.012765957446808484,0.015957446808510606,0.008851063829787216,0.015957446808510606,0.05319148936170202,0.06808510638297859,0.015957446808510606,0.015957446808510606,0.005319148936170201,0.006382978723404242,0.025531914893616968,0.1425531914893614,0.184042553191489,0.006680851063829773,0.004521276595744671,0.0015744680851063795,0.054255319148936054,0.1819148936170209,0.11808510638297846,0.0712765957446807,0.02340425531914889,0.013829787234042525,0.05212765957446798,0.16063829787234007,0.06808510638297859,0.03191489361702121,0.0999999999999998,0.0018404255319148897,0.025531914893616968,0.009574468085106362,0.03510638297872333,0.03723404255319141,0.4595744680851054,0.1531914893617018,0.4914893617021266,0.4914893617021266,0.20170212765957404,0.037021276595744605,0.07340425531914878,0.0032106382978723336,0.011489361702127636,0.026170212765957386,0.0028148936170212706,0.025531914893616968,0.04723404255319139,0.0034276595744680777,0.003708510638297864,0.008936170212765939,0.01085106382978721,0.005285106382978712,0.008297872340425515,0.03255319148936163,0.04085106382978715,0.012765957446808484,0.009574468085106362,0.003191489361702121,0.006382978723404242,0.012765957446808484,0.09382978723404234,0.11680851063829763,0.0038425531914893533,0.0022595744680851014,0.000925531914893615,0.030638297872340358,0.11553191489361679,0.07276595744680836,0.06446808510638284,0.015319148936170179,0.009574468085106362,0.04723404255319139,0.11744680851063805,0.03191489361702121,0.01978723404255315,0.051702127659574354,0.001027659574468083,0.01659574468085103,0.006382978723404242,0.022340425531914846,0.02170212765957442,0.395744680851063,0.10638297872340403,0.23829787234042504,0.18297872340425492,0.12808510638297846,0.022553191489361656,0.04893617021276586,0.0019787234042553154,0.008085106382978706,0.01957446808510634,0.0017276595744680817,0.014893617021276565,0.029361702127659515,0.0021446808510638253,0.0023234042553191446,0.005957446808510625,0.007234042553191475,0.003459574468085099,0.004255319148936162,0.01957446808510634,0.0238297872340425,0.008936170212765939,0.006382978723404243,0.002553191489361697,0.005106382978723394,0.008085106382978706,0.05914893617021265,0.06765957446808496,0.002421276595744676,0.0016936170212765922,0.000634042553191488,0.01446808510638295,0.07234042553191475,0.04297872340425523,0.04510638297872331,0.00978723404255317,0.006808510638297859,0.037021276595744605,0.08127659574468069,0.007659574468085091,0.006382978723404243,0.013617021276595719,0.00039574468085106304,0.0034042553191489296,0.0004255319148936162,0.0038297872340425456,0.005106382978723394
Kyle Lowry,2017,0.2897,94143000,3,1,0.2897,0.24468085106382928,0.3191489361702121,0.6382978723404242,0.6382978723404242,0.39787234042553105,0.07553191489361685,0.16276595744680816,0.004936170212765947,0.03404255319148929,0.08297872340425515,0.004382978723404245,0.041489361702127574,0.07978723404255303,0.005510638297872329,0.006053191489361689,0.05319148936170202,0.06489361702127645,0.00871276595744679,0.008510638297872323,0.04255319148936161,0.051063829787233936,0.07446808510638282,0.015957446808510606,0.003191489361702121,0.030851063829787168,0.029787234042553127,0.23829787234042502,0.2436170212765952,0.006627659574468071,0.005425531914893605,0.004234042553191481,0.025531914893616968,0.12765957446808485,0.0765957446808509,0.31808510638297804,0.021276595744680805,0.007446808510638282,0.14680851063829756,0.264893617021276,0.08297872340425515,0.024468085106382924,0.10744680851063806,0.002297872340425527,0.061702127659574335,0.004255319148936162,0.06489361702127645,0.04893617021276585,0.36382978723404175,0.19787234042553148,0.49787234042553086,0.49787234042553086,0.20553191489361658,0.03319148936170206,0.07723404255319133,0.002725531914893611,0.01978723404255315,0.048510638297872236,0.0025468085106382923,0.013404255319148907,0.028723404255319086,0.0030255319148936107,0.003529787234042546,0.018510638297872303,0.021063829787233996,0.005451063829787222,0.005106382978723394,0.029999999999999936,0.035744680851063755,0.04404255319148927,0.007021276595744666,0.0012765957446808484,0.014680851063829756,0.015957446808510606,0.10340425531914871,0.12446808510638271,0.003817021276595736,0.004027659574468077,0.0017617021276595706,0.019148936170212724,0.10276595744680829,0.06191489361702114,0.19723404255319107,0.01085106382978721,0.0038297872340425448,0.09382978723404234,0.13851063829787205,0.04468085106382969,0.01978723404255315,0.06510638297872326,0.001238297872340423,0.029999999999999936,0.003191489361702121,0.03319148936170206,0.028723404255319086,0.3829787234042545,0.13617021276595717,0.27659574468085046,0.27659574468085046,0.1446808510638295,0.01999999999999996,0.04851063829787224,0.001748936170212762,0.010212765957446787,0.02978723404255313,0.001476595744680848,0.00978723404255317,0.018723404255319112,0.002187234042553187,0.0022042553191489317,0.010638297872340403,0.012765957446808486,0.003531914893617014,0.002553191489361697,0.017872340425531878,0.020425531914893574,0.037021276595744605,0.005957446808510625,0.002127659574468081,0.01191489361702125,0.01106382978723402,0.060425531914893485,0.07021276595744666,0.002391489361702123,0.002608510638297867,0.0011191489361702105,0.008936170212765939,0.05489361702127648,0.032340425531914824,0.14808510638297842,0.008510638297872323,0.005106382978723394,0.07702127659574452,0.08340425531914877,0.015319148936170182,0.012765957446808486,0.028085106382978665,0.0006127659574468072,0.007234042553191475,0.002553191489361697,0.00978723404255317,0.010212765957446787
Tim Hardaway Jr.,2017,0.1664999999999999,94143000,4,0,0.1664999999999999,0.7234042553191474,0.2553191489361697,0.8404255319148919,0.3191489361702121,0.290425531914893,0.056382978723404135,0.12234042553191464,0.004840425531914883,0.020212765957446765,0.056382978723404135,0.0037978723404255236,0.03617021276595737,0.06702127659574454,0.005712765957446797,0.005712765957446797,0.022340425531914846,0.02872340425531909,0.008148936170212749,0.004255319148936162,0.025531914893616968,0.029787234042553127,0.024468085106382924,0.007446808510638282,0.002127659574468081,0.013829787234042525,0.013829787234042525,0.15425531914893584,0.16170212765957412,0.006042553191489349,0.004861702127659564,0.0024999999999999944,0.019148936170212724,0.10106382978723383,0.0606382978723403,0.15212765957446778,0.013829787234042525,0.006382978723404242,0.10106382978723383,0.23936170212765906,0.02872340425531909,0.022340425531914846,0.051063829787233936,0.0011382978723404231,0.010638297872340403,-0.004255319148936162,0.005319148936170201,0.014893617021276563,0.2872340425531909,0.15957446808510606,0.36382978723404175,0.34468085106382906,0.21127659574468038,0.040212765957446724,0.09574468085106362,0.0026872340425531855,0.014680851063829756,0.04595744680851054,0.0020234042553191446,0.025531914893616968,0.049787234042553086,0.0032936170212765885,0.003165957446808504,0.01659574468085103,0.01978723404255315,0.00520851063829786,0.0038297872340425448,0.02170212765957442,0.024893617021276543,0.017234042553191452,0.007021276595744666,0.0012765957446808484,0.010212765957446787,0.014042553191489332,0.11170212765957423,0.09191489361702108,0.003402127659574461,0.003057446808510632,0.0013340425531914865,0.012127659574468059,0.07212765957446793,0.04212765957446799,0.08106382978723387,0.010212765957446787,0.003191489361702121,0.05744680851063817,0.15191489361702096,0.010212765957446787,0.007021276595744666,0.01659574468085103,0.0004276595744680842,0.003191489361702121,-0.007021276595744666,-0.0038297872340425448,0.004468085106382969,0.19574468085106345,0.1106382978723402,0.27659574468085046,0.26808510638297817,0.1344680851063827,0.02553191489361697,0.06510638297872327,0.0016723404255319114,0.010638297872340403,0.031063829787233977,0.0014468085106382948,0.014893617021276565,0.033617021276595674,0.0018808510638297835,0.00201702127659574,0.015319148936170182,0.017872340425531878,0.0035787234042553118,0.002127659574468081,0.012340425531914867,0.01446808510638295,0.010212765957446787,0.0034042553191489296,0.0004255319148936162,0.006808510638297859,0.009361702127659556,0.07702127659574452,0.0578723404255318,0.002242553191489357,0.0020425531914893573,0.001182978723404253,0.007234042553191475,0.04170212765957439,0.02425531914893612,0.054468085106382874,0.00553191489361701,0.0012765957446808484,0.036595744680850986,0.1080851063829785,0.004255319148936162,0.0038297872340425456,0.007659574468085091,0.00018297872340425494,-0.0004255319148936162,-0.008510638297872323,-0.008510638297872323,0.0
Serge Ibaka,2017,0.2025,94143000,3,1,0.2025,0.6808510638297858,0.2872340425531909,0.8404255319148919,0.8404255319148919,0.32659574468085034,0.06382978723404242,0.131914893617021,0.005106382978723394,0.017021276595744646,0.04255319148936161,0.004159574468085098,0.04680851063829778,0.08936170212765938,0.005553191489361691,0.005776595744680839,0.014893617021276563,0.017021276595744646,0.009106382978723385,0.017021276595744646,0.0553191489361701,0.07234042553191473,0.009574468085106362,0.005319148936170201,0.017021276595744646,0.013829787234042525,0.02872340425531909,0.15744680851063797,0.1744680851063826,0.006021276595744668,0.0034361702127659504,0.0013510638297872311,0.0606382978723403,0.20212765957446766,0.1297872340425529,0.0553191489361701,0.008510638297872323,0.04468085106382969,0.0978723404255317,0.2223404255319144,0.02659574468085101,0.02765957446808505,0.054255319148936054,0.0010744680851063808,0.004255319148936162,-0.003191489361702121,0.0010638297872340404,0.012765957446808484,0.7468085106382963,0.17872340425531877,0.4851063829787224,0.4851063829787224,0.17553191489361664,0.03191489361702121,0.06574468085106369,0.003082978723404249,0.008936170212765939,0.024893617021276543,0.002297872340425527,0.02297872340425527,0.04085106382978715,0.0035680851063829714,0.003523404255319141,0.0076595744680850895,0.010212765957446787,0.005087234042553181,0.006382978723404242,0.03382978723404248,0.040212765957446724,0.005106382978723394,0.002553191489361697,0.008297872340425515,0.0076595744680850895,0.017872340425531878,0.08042553191489345,0.09382978723404234,0.0036638297872340344,0.0024191489361702076,0.0009638297872340405,0.027446808510638236,0.13404255319148908,0.0817021276595743,0.028085106382978665,0.004468085106382969,0.024255319148936118,0.06191489361702114,0.12382978723404228,0.013404255319148907,0.019148936170212724,0.03255319148936163,0.0007468085106382963,-0.0006382978723404242,0.0,-0.0006382978723404242,0.006382978723404242,0.3531914893617014,0.12340425531914868,0.31489361702127594,0.21702127659574424,0.1157446808510636,0.026808510638297815,0.050638297872340324,0.0022510638297872296,0.0029787234042553123,0.00978723404255317,0.0012340425531914866,0.0238297872340425,0.04085106382978715,0.0024936170212765904,0.002370212765957442,0.007659574468085091,0.010212765957446787,0.003246808510638291,0.008936170212765939,0.02553191489361697,0.034468085106382905,0.00553191489361701,0.0017021276595744648,0.005957446808510625,0.006382978723404243,0.012340425531914867,0.06382978723404242,0.07957446808510622,0.002476595744680846,0.0008212765957446792,0.0008595744680851046,0.036595744680850986,0.09872340425531893,0.06851063829787221,0.03276595744680844,0.0029787234042553123,0.018297872340425493,0.04553191489361693,0.0974468085106381,0.01191489361702125,0.014042553191489332,0.025957446808510583,0.0006212765957446795,0.0008510638297872324,0.0004255319148936162,0.0008510638297872324,0.005106382978723394
Danilo Gallinari,2017,0.2075,94143000,3,0,0.2075,0.42553191489361614,0.2978723404255313,0.6702127659574454,0.6702127659574454,0.36063829787233964,0.056382978723404135,0.1265957446808508,0.00475531914893616,0.021276595744680805,0.054255319148936054,0.004138297872340417,0.03510638297872333,0.07234042553191473,0.005223404255319137,0.005648936170212755,0.05851063829787222,0.06489361702127645,0.009595744680851044,0.006382978723404242,0.04787234042553181,0.0553191489361701,0.022340425531914846,0.006382978723404242,0.002127659574468081,0.013829787234042525,0.015957446808510606,0.19361702127659533,0.185106382978723,0.0066170212765957305,0.004595744680851054,0.0054893617021276484,0.021276595744680805,0.15638297872340393,0.08936170212765938,0.09680851063829767,0.009574468085106362,0.005319148936170201,0.0872340425531913,0.21276595744680807,0.0659574468085105,0.007446808510638282,0.07234042553191473,0.001638297872340422,0.029787234042553127,-0.014893617021276563,0.014893617021276563,0.020212765957446765,0.4148936170212757,0.185106382978723,0.13404255319148908,0.13404255319148908,0.20425531914893574,0.03127659574468079,0.07787234042553175,0.0025404255319148882,0.01085106382978721,0.03382978723404248,0.0020680851063829744,0.01978723404255315,0.04404255319148927,0.00290425531914893,0.002993617021276589,0.024893617021276543,0.026170212765957386,0.005942553191489349,0.002553191489361697,0.028085106382978665,0.030638297872340358,0.012765957446808484,0.0038297872340425448,0.003191489361702121,0.0076595744680850895,0.008936170212765939,0.0976595744680849,0.08808510638297853,0.003478723404255312,0.0027702127659574405,0.0021702127659574424,0.009574468085106362,0.0951063829787232,0.05297872340425521,0.05680851063829775,0.005744680851063818,0.0076595744680850895,0.051702127659574354,0.13148936170212738,0.005106382978723394,0.002553191489361697,0.0076595744680850895,0.0005617021276595732,0.002553191489361697,-0.005744680851063818,-0.003191489361702121,0.0019148936170212724,0.1531914893617018,0.12765957446808485,0.289361702127659,0.289361702127659,0.12893617021276568,0.02553191489361697,0.0553191489361701,0.001970212765957443,0.010212765957446787,0.02340425531914889,0.001842553191489358,0.015319148936170182,0.03191489361702121,0.002059574468085102,0.0023574468085106335,0.02297872340425527,0.02553191489361697,0.00384680851063829,0.0034042553191489296,0.022553191489361656,0.025957446808510583,0.01106382978723402,0.0029787234042553123,0.0012765957446808484,0.006382978723404243,0.008085106382978706,0.084255319148936,0.08936170212765938,0.0026936170212765904,0.0017914893617021238,0.0019531914893616983,0.012340425531914867,0.07702127659574452,0.04553191489361693,0.05617021276595733,0.004680851063829778,0.0038297872340425456,0.036170212765957374,0.10127659574468065,0.027234042553191437,0.007659574468085091,0.03489361702127652,0.0008127659574468069,0.020851063829787193,-0.002127659574468081,0.018297872340425493,0.014042553191489332
Paul Millsap,2017,0.3105,94143000,2,0,0.3105,0.4361702127659565,0.3297872340425525,0.7340425531914878,0.712765957446807,0.3617021276595737,0.0659574468085105,0.1499999999999997,0.004702127659574458,0.011702127659574445,0.03723404255319141,0.0033085106382978653,0.054255319148936054,0.11276595744680827,0.005170212765957436,0.0051170212765957335,0.04787234042553181,0.06276595744680838,0.008170212765957429,0.017021276595744646,0.06489361702127645,0.0819148936170211,0.03936170212765949,0.013829787234042525,0.009574468085106362,0.024468085106382924,0.02872340425531909,0.19255319148936131,0.1904255319148932,0.0057659574468084986,0.00263829787234042,0.004436170212765948,0.056382978723404135,0.20744680851063785,0.13297872340425504,0.1904255319148932,0.020212765957446765,0.024468085106382924,0.12872340425531886,0.2595744680851058,0.02765957446808505,0.04042553191489353,0.06808510638297859,0.0014042553191489333,0.008510638297872323,0.013829787234042525,0.022340425531914846,0.025531914893616968,0.47234042553191385,0.20425531914893574,0.2425531914893612,0.23617021276595693,0.19212765957446767,0.03382978723404248,0.07276595744680836,0.002961702127659568,0.006382978723404242,0.019148936170212724,0.0022021276595744635,0.027446808510638236,0.054255319148936054,0.003229787234042546,0.0032489361702127593,0.018510638297872303,0.026808510638297815,0.004442553191489352,0.01085106382978721,0.029999999999999936,0.04085106382978715,0.017872340425531878,0.006382978723404242,0.0076595744680850895,0.012127659574468059,0.01659574468085103,0.09319148936170193,0.10851063829787211,0.003504255319148929,0.0016595744680851028,0.0023617021276595694,0.04085106382978715,0.11234042553191466,0.07723404255319133,0.08872340425531897,0.01085106382978721,0.020425531914893574,0.08042553191489345,0.14042553191489332,0.008936170212765939,0.007021276595744666,0.015957446808510606,0.0006829787234042538,0.002553191489361697,0.0,0.002553191489361697,0.004468085106382969,0.49361702127659474,0.14042553191489332,0.2978723404255313,0.27659574468085046,0.11531914893616999,0.01957446808510634,0.04042553191489354,0.002059574468085102,0.0034042553191489296,0.00978723404255317,0.0015531914893616987,0.016170212765957412,0.030638297872340365,0.002221276595744676,0.0022468085106382932,0.01106382978723402,0.015319148936170182,0.0030936170212765893,0.009361702127659556,0.021276595744680805,0.030638297872340365,0.008510638297872323,0.005106382978723394,0.0034042553191489296,0.005957446808510625,0.01106382978723402,0.05361702127659563,0.07617021276595728,0.0024255319148936117,0.0010170212765957425,0.0015914893617021244,0.037021276595744605,0.08595744680851046,0.06127659574468073,0.04510638297872331,0.009361702127659556,0.010638297872340403,0.04638297872340416,0.08340425531914877,0.013617021276595719,0.012340425531914867,0.025957446808510583,0.000659574468085105,0.0029787234042553123,0.004255319148936162,0.007234042553191475,0.007659574468085091
